Matricule;Nom;Prénom;Genre;Date de naissance;Lieu de naissance;Tuteur;Téléphone
ELV-081;GUEYE;Fatou;F;22/10/2014;Kolda;Ousmane Gueye;770100081
ELV-082;KANE;Baye;M;03/11/2013;Tambacounda;Mariama Kane;770100082
ELV-083;LO;Aminata;F;14/12/2014;Bambey;Ibrahima Lo;770100083
ELV-084;FOFANA;Moussa;M;25/01/2013;Dakar;Awa Fofana;770100084
ELV-085;CAMARA;Rokhaya;F;06/02/2014;Thiès;Mamadou Camara;770100085
ELV-086;SY;Lamine;M;17/03/2013;Kaolack;Khady Sy;770100086
ELV-087;DIAKHITE;Mame;F;28/04/2014;Saint-Louis;Cheikh Diakhite;770100087
ELV-088;SEYDI;Issa;M;09/05/2013;Ziguinchor;Aissatou Seydi;770100088
ELV-089;GADIAGA;Adja;F;20/06/2014;Rufisque;Ousmane Gadiaga;770100089
ELV-090;MBAYE;Mamadou;M;01/07/2013;Mbour;Mariama Mbaye;770100090
ELV-091;BARRY;Ndeye;F;12/08/2014;Louga;Ibrahima Barry;770100091
ELV-092;TOURE;Baba;M;23/09/2013;Fatick;Awa Toure;770100092
ELV-093;DIOP;Aicha;F;04/10/2014;Kolda;Moussa Diop;770100093
ELV-094;NDAO;Seydina;M;15/11/2013;Tambacounda;Mariama Ndao;770100094
ELV-095;SOW;Fatimata;F;26/12/2014;Bambey;Cheikh Sow;770100095
ELV-096;DIALLO;Ousmane;M;07/01/2013;Dakar;Aissatou Diallo;770100096
ELV-097;FALL;Aminata;F;18/02/2014;Thiès;Mamadou Fall;770100097
ELV-098;NDIAYE;Lamine;M;01/03/2013;Kaolack;Khady Ndiaye;770100098
ELV-099;GUEYE;Awa;F;12/04/2014;Saint-Louis;Samba Gueye;770100099
ELV-100;CISSE;Moussa;M;23/05/2013;Ziguinchor;Mariama Cisse;770100100
ELV-101;DIA;Rokhaya;F;04/06/2014;Rufisque;Abdou Dia;770100101
ELV-102;SECK;Baye;M;15/07/2013;Mbour;Aminata Seck;770100102
ELV-103;THIAM;Mame Diarra;F;26/08/2014;Louga;Moussa Thiam;770100103
ELV-104;SARR;Amadou;M;07/09/2013;Fatick;Khady Sarr;770100104
ELV-105;WANE;Aicha;F;18/10/2014;Kolda;Babacar Wane;770100105
ELV-106;DIONE;Cheikh;M;29/11/2013;Tambacounda;Awa Dione;770100106
ELV-107;KANE;Ndeye;F;10/12/2014;Bambey;Ibrahima Kane;770100107
ELV-108;LY;Mamadou;M;21/01/2013;Dakar;Aminata Ly;770100108
ELV-109;FAYE;Sokhna;F;02/02/2014;Thiès;Ousmane Faye;770100109
ELV-110;MBAYE;Balla;M;13/03/2013;Kaolack;Mariama Mbaye;770100110
ELV-111;BARRY;Awa;F;24/04/2014;Saint-Louis;Mamadou Barry;770100111
ELV-112;DIOUF;Moussa;M;05/05/2013;Ziguinchor;Aissatou Diouf;770100112
ELV-113;GAYE;Fatou;F;16/06/2014;Rufisque;Cheikh Gaye;770100113
ELV-114;BADJI;Ibrahima;M;27/07/2013;Mbour;Mariama Badji;770100114
ELV-115;NIANG;Aminata;F;08/08/2014;Louga;Samba Niang;770100115
ELV-116;LO;Moussa;M;19/09/2013;Fatick;Awa Lo;770100116
ELV-117;DIAW;Rama;F;30/10/2014;Kolda;Babacar Diaw;770100117
ELV-118;HANE;Oumar;M;11/11/2013;Tambacounda;Aissatou Hane;770100118
ELV-119;SANÉ;Mame;F;22/12/2014;Bambey;Ibrahima Sané;770100119
ELV-120;DIALLO;Keur;M;03/01/2013;Dakar;Mariama Diallo;770100120
